L_501,L_503,L_511C,L_511R,L_512,L_521,L_551,L_561,L_562,Trasfega,Filtracao,Brassagem,Energia,anomaly
0.0,0.0,4244.728,0.0,5598.18,380.0,0.0,2539.44,1548.12,12089,12624.0,15091.3,128119.0,1
3555.15,3521.07,4003.016,0.0,5593.938,0.0,409.32,3186.96,2765.61,18558,13120.0,10695.8,143907.0,1
3322.5,3165.927,4291.801,0.0,7091.574,0.0,0.0,3473.76,3536.34,6212,13768.0,16045.4,152067.0,1
3296.7,3306.756,4340.428,0.0,6583.248,0.0,0.0,2944.44,1969.35,9907,17883.0,17392.4,154508.0,1
0.0,0.0,3686.519,0.0,6698.244,0.0,0.0,0.0,0.0,12300,16618.0,17704.6,104249.0,1
2626.05,1870.797,1823.067,0.0,7040.124,0.0,0.0,3097.92,1589.28,6231,15761.0,10916.5,140957.0,1
3532.5,3180.9,4149.793,0.0,7162.68,374.0,417.6,1712.28,2201.04,11930,17795.5,14071.5,147603.0,1
2551.2,2521.881,4131.583,0.0,7008.96,414.0,375.36,2416.92,2482.8,6323,29264.0,14574.1,152877.0,1
1516.2,2008.245,3506.129,0.0,4945.43,391.8,0.0,3066.12,1452.24,17699,12430.0,18189.0,147877.0,1
1215.9,3189.042,4215.44,0.0,6772.385,486.4,0.0,2336.4,3122.04,3888,10137.0,14676.7,143382.1,1
3786.3,2489.037,4200.488,0.0,5872.498,482.4,0.0,3082.08,4170.96,12791,19776.0,16863.0,158434.0,1
0.0,0.0,1879.768,0.0,2498.593,0.0,0.0,0.0,2453.52,6361,5497.0,4350.6,103000.0,1
2596.2,2677.338,4644.018,0.0,0.0,125.5,194.904,3917.04,1678.56,11744,11596.0,8495.8,111000.0,1
3283.8,696.21,4618.989,0.0,0.0,525.2,0.0,2621.28,1677.06,8337,16268.0,15622.5,123000.0,1
1969.8,2543.892,4022.249,0.0,3379.151,403.9,0.0,3276.48,4587.57,3095,12221.0,16389.4,149560.0,1
2594.1,3123.63,4475.513,0.0,6585.281,575.2,0.0,3754.44,4784.88,9137,13343.0,15386.4,157000.0,1
2773.05,1069.5,2864.914,0.0,2803.558,0.0,0.0,0.0,1704.48,11362,3630.0,1894.9,117000.0,1
2377.65,2249.262,3273.448,0.0,4214.881,37.5,51.72,1295.04,1123.992,7987,17694.0,10598.3,119000.0,1
1255.05,2686.446,4059.95,0.0,5567.009,507.5,532.56,2420.52,1820.52,14688,15586.0,13980.7,143000.0,1
1346.25,2609.787,4669.087,0.0,5912.647,315.2,410.64,1149.48,1705.2,12618,15581.0,15473.2,143505.0,1
2482.2,2954.718,4314.741,0.0,6267.565,238.5,0.0,3537.96,3337.98,12384,14400.0,13688.3,164749.0,1
2853.9,1800.9,4328.522,0.0,6834.322,172.0,0.0,3060.12,3695.52,12477,8900.0,16357.4,155191.0,1
1071.0,361.836,4032.836,0.0,6559.055,0.0,0.0,0.0,0.0,9998,16015.0,4947.7,114383.0,1
1474.2,2579.772,3905.845,0.0,5039.312,0.0,0.0,1985.64,1674.6,12742,11900.0,3209.3,118287.0,1
